"kc.bodyId","kc.instance","kc.type","nb.cluster","kc.largetype","nclaw","npostsyn"
"517871837","KCa'b'-m_R","kcabprimem","a","alphaprimebetaprime",6,99
"910063154","KCab-m_R","kcabm","b","alphabeta",4,82
"5813060614","KCab-s_R","kcabs","b","alphabeta",5,88
"5812983745","KCab-c_R","kcabc","a","alphabeta",3,35
"5812979177","KCg-m_R","kcg","a","gamma",5,122
"723848801","KCg-m_R","kcg","a","gamma",7,144
"5812981816","KCa'b'-m_R","kcabprimem","a","alphaprimebetaprime",4,73
"849685478","KCab-m_R","kcabm","a","alphabeta",5,87
"736126746","KCab-m_R","kcabm","b","alphabeta",4,73
"5812982795","KC part due to gap","unknown",NA,"unknown",3,28
"363724996","KCab-c_R","kcabc","d","alphabeta",6,87
"5813021647","KCab-m_R","kcabm","d","alphabeta",4,65
"5812980212","KCab-m_R","kcabm","d","alphabeta",4,69
"5812981962","KC part due to gap","unknown",NA,"unknown",4,43
"5812981951","KCg-m_R","kcg","d","gamma",9,174
"5812980787","KCab-m_R","kcabm","d","alphabeta",5,82
"798196461","KCab-c_R","kcabc","d","alphabeta",6,65
"611646132","KCab-s_R","kcabs","a","alphabeta",6,95
"5812982192","KCab-m_R","kcabm","d","alphabeta",7,108
"1047157746","KCab-m_R","kcabm","c","alphabeta",6,98
"662772373","KCab-m_R","kcabm","d","alphabeta",4,74
"909372602","KCab-m_R","kcabm","a","alphabeta",4,76
"1236816635","KCg-m_R","kcg","a","gamma",4,78
"457507485","KCab-s_R","kcabs","a","alphabeta",6,82
"363724985","KCab-c_R","kcabc","a","alphabeta",4,51
"736467526","KCab-m_R","kcabm","a","alphabeta",4,77
"5813021379","KCg-m_R","kcg","a","gamma",8,142
"878333333","KCab-m_R","kcabm","b","alphabeta",6,85
"332685755","KCab-c_R","kcabc","a","alphabeta",6,96
"754188980","KCg-m_R","kcg","b","gamma",9,143
"704750673","KCab-m_R","kcabm","a","alphabeta",4,100
"5812981068","KCa'b'-ap2_R","kcabprimeap2","a","alphaprimebetaprime",6,93
"815580911","KCg-m_R","kcg","b","gamma",6,133
"954053251","KCab-c_R","kcabc","d","alphabeta",6,76
"1078534091","KCab-s_R","kcabs","c","alphabeta",4,64
"5813021382","KCg-m_R","kcg","c","gamma",10,198
"1202673723","KCa'b'-ap2_R","kcabprimeap2","c","alphaprimebetaprime",5,58
"363375475","KCab-c_R","kcabc","a","alphabeta",2,16
"785918963","KCg-t_R","kcgt","b","gamma",2,41
"446533552","KCg-m_R","kcg","d","gamma",9,171
"5813032900","KCa'b'-ap2_R","kcabprimeap2","d","alphaprimebetaprime",5,94
"5813057191","KCg-m_R","kcg","d","gamma",9,180
"736117977","KCa'b'-m_R","kcabprimem","d","alphaprimebetaprime",5,82
"5812981706","KCg-m_R","kcg","d","gamma",9,254
"5813054343","KCab-s_R","kcabs","a","alphabeta",6,88
"456121649","KCab-s_R","kcabs","c","alphabeta",5,97
"548898403","KCa'b'-m_R","kcabprimem","c","alphaprimebetaprime",7,100
"5813095018","KCa'b'-ap2_R","kcabprimeap2","d","alphaprimebetaprime",5,73
"797514653","KCab-m_R","kcabm","a","alphabeta",4,57
"860266014","KCab-m_R","kcabm","a","alphabeta",4,73
"1003478461","KCg-m_R","kcg","c","gamma",8,132
"5813081797","KCab-s_R","kcabs","b","alphabeta",7,82
"364411143","KCab-s_R","kcabs","a","alphabeta",7,89
"5812980398","KCab-s_R","kcabs","b","alphabeta",6,74
"5813095238","KCab-m_R","kcabm","b","alphabeta",5,83
"891642345","KCab-c_R","kcabc","a","alphabeta",4,63
