"image","side","z","roi","Area","brain.number","genotype","chat.fluo","chat.slice.fluo","chat.norm.f","mz19.fluo","mz19.slice.fluo","mz19.norm.f","kc.fluo","kc.slice.fluo","kc.norm.f","sampleid"
"02","R","9/","nonmz19",5.201,"15D","dpr4",188.992,110.59,1.70894294239986,66.899,38.825,1.72309079201545,96.651,106.009,0.911724476223717,"02R"
"02","R","9/","nonmz19",6.813,"15D","dpr4",186.186,110.59,1.68356994303282,66.657,38.825,1.71685769478429,139.648,106.009,1.31732211416012,"02R"
"02","R","9/","nonmz19",6.108,"15D","dpr4",174.607,110.59,1.578867890406,60.693,38.825,1.56324533161623,83.02,106.009,0.783141054061448,"02R"
"02","R","9/","nonmz19",3.548,"15D","dpr4",172.176,110.59,1.55688579437562,56.818,38.825,1.46343850611719,73.085,106.009,0.689422596194663,"02R"
"02","R","9/","nonmz19",4.455,"15D","dpr4",152.176,110.59,1.37603761642101,47.33,38.825,1.2190598840953,83.661,106.009,0.789187710477412,"02R"
"02","R","11","nonmz19",5.402,"15D","dpr4",183.563,106.876,1.71753246753247,68.396,38.953,1.75585962570277,84.078,109.945,0.764727818454682,"02R"
"02","R","11","nonmz19",4.233,"15D","dpr4",169.067,106.876,1.58189864890153,60.048,38.953,1.5415500731651,120.714,109.945,1.09794897448724,"02R"
"02","R","11","nonmz19",5.14,"15D","dpr4",157.482,106.876,1.47350200232045,84.431,38.953,2.16750956280646,114.18,109.945,1.03851925962981,"02R"
"02","R","11","nonmz19",3.064,"15D","dpr4",185.401,106.876,1.7347299674389,66.118,38.953,1.69737889251149,192.954,109.945,1.75500477511483,"02R"
"02","R","13","nonmz19",2.237,"15D","dpr4",155.387,103.766,1.49747508817917,64.144,37.91,1.69200738591401,206.586,110.444,1.87050450907247,"02R"
"02","R","13","nonmz19",4.898,"15D","dpr4",184.72,103.766,1.78015920436366,70.082,37.91,1.84864151938802,183.597,110.444,1.66235377204737,"02R"
"02","R","13","nonmz19",1.673,"15D","dpr4",160.566,103.766,1.5473854634466,55.904,37.91,1.47465048799789,100.783,110.444,0.912525804932817,"02R"
"02","R","13","nonmz19",2.6,"15D","dpr4",185.512,103.766,1.78779176223426,66.589,37.91,1.75650224215247,108.411,110.444,0.98159248125747,"02R"
"02","R","13","nonmz19",3.568,"15D","dpr4",165.757,103.766,1.59741148353025,61.243,37.91,1.61548404115009,173.203,110.444,1.568242729347,"02R"
"02","R","15","nonmz19",4.253,"15D","dpr4",171.962,103.61,1.65970466171219,70.664,37.581,1.88031185971635,179.891,108.864,1.65243790417402,"02R"
"02","R","15","nonmz19",3.89,"15D","dpr4",179.01,103.61,1.72772898368883,72.332,37.581,1.92469598999494,181.699,108.864,1.669045781893,"02R"
"02","R","15","nonmz19",3.548,"15D","dpr4",140.96,103.61,1.36048643953286,45.398,37.581,1.208004044597,234.358,108.864,2.15275940623163,"02R"
"02","R","15","nonmz19",3.528,"15D","dpr4",156.389,103.61,1.50940063700415,56.114,37.581,1.49314813336526,208.457,108.864,1.91483869782481,"02R"
"02","R","17","nonmz19",4.273,"15D","dpr4",131.981,99.01,1.33300676699323,47.217,37.475,1.25995997331554,164.778,139.192,1.18381803551928,"02R"
"04","R","11","nonmz19",6.188,"13E","empty",94.238,73.548,1.2813128841029,32.853,26.963,1.21844750213255,48.45,49.43,0.980173983410884,"04R"
"04","R","11","nonmz19",4.132,"13E","empty",108.176,73.548,1.47082177625496,41.961,26.963,1.55624374142343,76.824,49.43,1.55419785555331,"04R"
"04","R","11","nonmz19",4.193,"13E","empty",123.99,73.548,1.68583782019905,42.101,26.963,1.56143604198346,44.553,49.43,0.901335221525389,"04R"
"04","R","13","nonmz19",4.152,"13E","empty",88.451,73.145,1.20925558821519,34.112,26.061,1.30892905107248,48.835,49.682,0.982951571997907,"04R"
"04","R","13","nonmz19",4.112,"13E","empty",106.152,73.145,1.45125435778249,34.5,26.061,1.32381719811212,46.76,49.682,0.941185942594904,"04R"
"04","R","13","nonmz19",4.838,"13E","empty",144.188,73.145,1.97126256066717,49.508,26.061,1.89969686504739,67.092,49.682,1.35042872670182,"04R"
"04","R","13","nonmz19",3.427,"13E","empty",103.194,73.145,1.4108141363046,37.806,26.061,1.45067342005295,67.929,49.682,1.36727587456222,"04R"
"04","R","13","nonmz19",2.54,"13E","empty",103.635,73.145,1.41684325654522,37.563,26.061,1.44134914239668,73.127,49.682,1.47190129221851,"04R"
"04","R","13","nonmz19",3.568,"13E","empty",88.435,73.145,1.20903684462369,26.627,26.061,1.02171827635164,52.226,49.682,1.05120566804879,"04R"
"04","R","15","nonmz19",4.112,"13E","empty",149.26,76.309,1.95599470573589,50.525,27.339,1.84809246863455,56.877,54.083,1.05166133535492,"04R"
"04","R","15","nonmz19",2.822,"13E","empty",124.064,76.309,1.62581084799958,40.393,27.339,1.47748637477596,56.293,54.083,1.04086311780042,"04R"
"04","R","15","nonmz19",2.197,"13E","empty",124.679,76.309,1.63387018569238,50.908,27.339,1.86210175939135,62.101,54.083,1.14825361019174,"04R"
"04","R","15","nonmz19",3.024,"13E","empty",135.68,76.309,1.77803404578752,49.627,27.339,1.81524561981053,69.847,54.083,1.29147791357728,"04R"
"04","R","17","nonmz19",2.58,"13E","empty",129.766,69.858,1.85756820979702,43.297,26.532,1.6318784863561,45.375,55.509,0.817435010538831,"04R"
"04","R","17","nonmz19",2.782,"13E","empty",100.87,69.858,1.44392911334421,35.536,26.532,1.33936378712498,67.899,55.509,1.22320704750581,"04R"
"04","R","17","nonmz19",4.959,"13E","empty",102.801,69.858,1.47157090097054,42.565,26.532,1.60428916025931,61.191,55.509,1.10236177917095,"04R"
"04","R","19","nonmz19",2.076,"13E","empty",108.786,63.123,1.72339717694026,44.214,26.446,1.67185963850866,74.961,47.606,1.5746124438096,"04R"
